Number of Drones,Attraction Constant,Repulsion Constant,Mean Final Percentage,Std Final Percentage,Mean Data Length,Std Data Length
5,380,260,37.83,16.47,998.33,133.51
5,380,280,28.5,13.95,962.93,122.79
5,380,300,32.6,18.09,975.07,160.47
5,380,320,29.57,15.3,931.2,111.46
5,380,340,36.47,16.11,1005.53,162.85
5,380,360,34.6,13.88,903.07,105.25
5,380,380,35.9,17.05,1051.27,174.97
5,380,400,39.7,14.84,961.13,183.52
5,400,0,10.63,9.11,954.6,131.85
5,400,20,17.5,14.02,898.33,159.73
5,400,40,24.3,21.85,876.93,90.41
5,400,60,23.1,22.19,903.27,69.06
5,400,80,29.27,17.39,966.47,149.98
5,400,100,15.53,15.57,947.07,94.62
5,400,120,27.6,19.18,904.2,152.37
5,400,140,29.9,18.31,932.33,138.63
5,400,160,28.5,13.05,948.4,122.6
5,400,180,29.73,17.96,998.13,128.97
5,400,200,26.43,22.6,940.87,145.26
5,400,220,28.23,17.39,977.67,140.97
5,400,240,30.47,14.38,1000.2,136.29
5,400,260,27.63,13.38,987.33,236.0
5,400,280,33.63,15.04,1015.2,173.96
5,400,300,33.4,21.38,955.27,181.93
5,400,320,29.33,19.07,995.33,114.47
5,400,340,39.17,18.29,964.07,155.11
5,400,360,34.57,16.06,1007.4,137.58
5,400,380,30.2,13.19,992.53,93.87
5,400,400,33.4,14.91,944.8,113.17
10,0,0,1.3,4.14,457.6,66.01
10,0,20,0.0,0.0,455.0,88.34
10,0,40,2.4,7.6,471.2,97.52
10,0,60,0.93,1.97,435.87,65.75
10,0,80,0.6,1.56,399.2,57.2
10,0,100,5.03,9.24,438.4,72.14
10,0,120,2.43,3.9,442.6,113.13
10,0,140,3.87,4.53,451.07,102.26
10,0,160,4.43,7.28,416.93,56.61
10,0,180,3.7,5.37,422.4,56.84
10,0,200,4.5,8.25,422.67,34.91
10,0,220,3.5,4.34,415.73,50.37
10,0,240,3.8,5.29,408.13,30.55
10,0,260,2.4,5.04,419.87,64.93
10,0,280,8.8,10.23,419.33,64.27
10,0,300,5.13,9.17,408.8,35.01
10,0,320,5.27,7.57,414.2,31.7
10,0,340,1.57,3.02,427.4,38.31
10,0,360,4.23,6.91,416.87,63.28
10,0,380,7.9,14.03,412.67,57.96
10,0,400,3.9,5.89,398.27,32.08
10,20,0,4.87,8.4,438.8,54.5
10,20,20,3.67,7.42,472.27,98.84
10,20,40,5.03,8.65,433.13,68.62
10,20,60,4.87,8.44,434.8,55.8
10,20,80,3.3,5.13,405.73,40.14
10,20,100,4.43,7.8,425.6,46.31
10,20,120,6.43,8.24,448.47,51.61
10,20,140,8.43,8.47,405.6,48.76
10,20,160,5.97,9.63,426.13,44.94
10,20,180,7.23,8.35,452.4,79.55
10,20,200,14.3,9.58,420.0,36.93
10,20,220,8.97,9.94,414.07,52.45
10,20,240,6.6,8.94,423.53,63.45
10,20,260,8.27,10.43,414.07,32.96
10,20,280,7.5,9.74,405.53,32.25
10,20,300,13.1,14.68,402.47,47.93
10,20,320,6.4,8.63,396.8,42.03
10,20,340,7.07,7.35,415.47,49.48
10,20,360,8.47,10.42,407.4,33.77
10,20,380,5.23,8.19,388.87,25.59
10,20,400,3.9,4.79,408.6,55.24
10,40,0,30.13,22.05,449.87,80.83
10,40,20,23.37,11.32,437.73,52.49
10,40,40,29.6,13.27,439.53,57.45
10,40,60,23.4,16.96,433.67,72.02
10,40,80,22.9,15.32,424.8,58.39
10,40,100,23.23,15.98,427.07,60.68
10,40,120,22.93,19.06,440.4,74.85
10,40,140,27.4,15.3,483.8,104.86
10,40,160,18.07,14.47,449.73,72.14
10,40,180,15.03,11.5,424.67,42.96
10,40,200,16.8,18.52,451.4,56.97
10,40,220,12.0,10.42,423.47,68.26
10,40,240,13.93,9.08,410.0,35.97
10,40,260,12.07,10.8,442.33,53.59
10,40,280,9.43,8.91,413.47,54.66
10,40,300,9.57,7.63,409.27,37.12
10,40,320,9.9,10.55,395.73,33.67
10,40,340,11.93,11.26,418.13,63.14
10,40,360,11.0,14.91,415.73,22.35
10,40,380,20.3,18.96,397.13,38.51
10,40,400,8.9,7.62,408.67,39.93
10,60,0,30.83,14.52,469.07,107.75
10,60,20,52.0,15.55,474.27,91.99
10,60,40,45.0,19.64,462.67,103.19
10,60,60,45.43,16.95,445.73,50.92
10,60,80,32.73,16.53,419.0,52.35
10,60,100,34.53,13.31,409.0,43.32
10,60,120,34.77,15.14,441.67,65.22
10,60,140,31.1,17.71,427.73,68.02
10,60,160,31.43,17.53,442.13,79.87
10,60,180,26.57,15.92,412.73,43.78
10,60,200,21.2,12.36,440.93,81.79
10,60,220,29.1,14.55,438.8,63.55
10,60,240,21.1,14.38,430.67,42.61
10,60,260,22.53,13.23,425.47,36.73
10,60,280,18.5,14.58,419.07,27.01
10,60,300,14.87,11.32,413.8,43.51
10,60,320,22.23,17.36,420.33,58.79
10,60,340,14.93,14.0,406.4,33.01
10,60,360,15.97,10.73,397.67,34.85
10,60,380,14.5,13.5,406.6,37.25
10,60,400,17.07,12.67,426.47,58.07
10,80,0,42.93,15.18,461.53,98.24
10,80,20,51.13,14.51,486.87,72.8
10,80,40,44.17,20.59,486.27,67.69
10,80,60,43.57,18.32,466.27,124.9
10,80,80,40.2,12.54,446.53,75.26
10,80,100,41.47,17.48,441.47,63.27
10,80,120,39.63,15.52,413.8,29.05
10,80,140,41.2,16.51,418.6,31.69
10,80,160,46.73,12.9,429.73,57.32
10,80,180,33.6,13.83,455.8,80.79
10,80,200,38.0,17.32,433.33,50.11
10,80,220,33.27,16.49,450.0,58.07
10,80,240,22.9,12.7,427.8,54.09
10,80,260,23.17,12.19,430.33,48.7
10,80,280,38.77,20.04,450.27,46.05
10,80,300,27.1,16.26,404.4,28.04
10,80,320,27.33,13.8,407.0,34.02
10,80,340,25.1,13.17,427.07,42.98
10,80,360,20.33,17.85,435.47,32.3
10,80,380,21.37,17.39,409.2,22.52
10,80,400,22.57,12.65,410.8,35.46
10,100,0,42.6,16.52,481.73,80.95
10,100,20,55.4,18.67,478.33,70.08
10,100,40,49.9,20.14,462.33,52.38
10,100,60,54.9,12.37,491.53,99.75
10,100,80,52.17,20.03,430.8,43.9
10,100,100,54.0,18.05,464.33,67.44
10,100,120,47.93,19.29,459.53,91.49
10,100,140,42.5,12.8,451.2,83.22
10,100,160,48.47,15.41,451.73,69.65
10,100,180,41.73,20.98,458.13,65.65
10,100,200,37.27,15.74,445.33,58.13
10,100,220,34.4,16.76,424.27,45.61
10,100,240,38.23,19.31,443.2,61.7
10,100,260,40.2,14.66,453.47,50.26
10,100,280,27.67,8.31,466.13,83.61
10,100,300,34.03,15.98,417.0,57.78
10,100,320,29.07,19.07,422.67,38.77
10,100,340,25.87,14.47,422.27,36.27
10,100,360,19.93,14.5,416.13,41.85
10,100,380,25.33,17.86,403.53,27.49
10,100,400,32.77,9.42,407.87,27.53
10,120,0,36.37,17.85,531.93,158.96
10,120,20,58.43,9.83,468.4,72.01
10,120,40,54.67,11.97,456.67,67.42
10,120,60,53.07,17.34,521.53,108.65
10,120,80,57.63,13.47,479.2,119.77
10,120,100,53.77,15.85,494.2,124.77
10,120,120,49.73,14.64,468.93,75.0
10,120,140,52.47,18.17,459.87,56.11
10,120,160,51.67,18.87,475.73,93.48
10,120,180,47.0,17.79,457.8,87.88
10,120,200,45.37,13.54,452.8,56.14
10,120,220,45.57,20.5,454.07,82.5
10,120,240,40.5,16.65,432.53,49.3
10,120,260,38.1,16.73,441.47,46.01
10,120,280,34.0,13.19,449.87,60.99
10,120,300,30.73,15.81,428.33,55.58
10,120,320,29.23,14.63,435.33,63.64
10,120,340,30.17,14.93,433.13,45.7
